"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2798","test_login_failed[-secret_sauce-Epic sadface: Username is required]","scripts","2026-04-25","passed","2026-04-25","TestLogin","test_login","",""
"","2224","test_add_goods_to_cart[Sauce Labs Bike Light-2]","scripts","2026-04-25","passed","2026-04-25","TestShopping","test_shopping","",""
"","2219","test_add_goods_to_cart[Sauce Labs Bolt T-Shirt-3]","scripts","2026-04-25","passed","2026-04-25","TestShopping","test_shopping","",""
"","2395","test_remove_goods_from_cart[Sauce Labs Backpack-2]","scripts","2026-04-25","passed","2026-04-25","TestShopping","test_shopping","",""
"","2405","test_remove_goods_from_cart[Sauce Labs Bike Light-1]","scripts","2026-04-25","passed","2026-04-25","TestShopping","test_shopping","",""
"","2386","test_add_goods_to_cart[Sauce Labs Backpack-1]","scripts","2026-04-25","passed","2026-04-25","TestShopping","test_shopping","",""
"","2750","test_login_failed[standard_user-secret_sauce22-Epic sadface: Username and password do not match any user in this service]","scripts","2026-04-25","passed","2026-04-25","TestLogin","test_login","",""
"","2777","test_login_failed[standard_user22-secret_sauce-Epic sadface: Username and password do not match any user in this service]","scripts","2026-04-25","passed","2026-04-25","TestLogin","test_login","",""
"","2654","test_login_failed[standard_user--Epic sadface: Password is required]","scripts","2026-04-25","passed","2026-04-25","TestLogin","test_login","",""
"","5402","test_login_success[standard_user-secret_sauce-Add to cart]","scripts","2026-04-25","passed","2026-04-25","TestLogin","test_login","",""
